"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-09","2.5",",,W","0.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","5.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-10","3.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"17.2",",,X","9.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-11","5.9",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"28.9",",,X","13.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-12","5.2",",,W","4.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"22.2",",,X","11.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-13","4.5",",,W","7.9",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","9.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-14","2.1",",,W","0.0",",,X,2400","0.0",",,W,","0.0",",,W,",,,"21.7",",,X","7.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-15","4.6",",,W","0.0",",,X,2400","0.0",",,W,","0.0",",,W,",,,"18.3",",,X","8.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-16","6.8",",,W","15.2",",,X,2400","0.0",",,X,","0.0",",,X,",,,"17.2",",,X","9.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-17","5.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"19.4",",,X","8.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-18","3.1",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"23.3",",,X","10.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-19","2.8",",,W","0.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"20.0",",,X","13.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-20","4.7",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"30.0",",,X","11.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-21","5.9",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"18.3",",,X","8.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-22","3.9",",,W","9.1",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","6.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-23","4.1",",,W","1.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"21.1",",,X","6.7",",,X"
